TRDAR_NM,culture_store_count
북한산우이역 2번,0
화계역 2번,1
화계중학교,0
가오리역 1번,0
상계2동주민센터,0
신창초등학교,0
강북문화예술회관,0
하나고등학교,0
홍은종합사회복지관,0
광산사거리,0
가인초등학교,2
중계초등학교,0
수락산디자인거리,0
방학역 2번,1
도봉산역 1번,0
수락산역 4번,0
방학1동주민센터,2
누원고등학교,0
발바닥공원,2
계상초등학교,0
상계역,0
중랑역 1번,2
외대앞역 1번,0
송중동주민센터,0
광흥창역 1번,2
서강대학교,2
송정체육공원,1
남강고등학교(남강중학교),2
염곡동 구룡사(포이동성당),1
아래방죽마을공원(율현초등학교),2
양재근린공원(양재2동주민센터),2
난곡초등학교(난곡동벽화마을),1
청림동주민센터(상도중학교),1
거여역 1번(거여공원),1
도봉역 2번,0
성자초등학교,0
노원초등학교,0
광운대학교 남단,1
뚝섬역교차로,1
장안현대홈타운1차아파트,1
먹골역 5번,2
중랑역 2번,3
장위1동주민센터,0
상월곡역 2번,2
장지동주민센터(한림연예예술고교),1
강동구청(강동구청역 2번),1
한강로동땡땡거리(은행나무길),0
연트럴파크(연남동주민센터),2
사직공원(한국사회과학도서관),0
경찰병원역 4번(건너말공원),1
배화여자대학교(박노수미술관),0
전농1동주민센터(전농시장),0
석계역 1번,2
온수역 5번(온수산업단지),0
보라매동주민센터(당곡고등학교),2
봉천역 4번(봉천110안전센터),0
구로창업지원센터,1
성동구립금호도서관,1
길상사,0
홍은중학교,0
북정마을,0
홍제3동주민센터,0
종암중학교,0
자하문터널,0
은천초등학교(은천교앞),1
천호공원(해공체육문화센터),2
대림차이나타운(대림역 12번),2
경문고등학교(동작동성당),1
호림박물관(성보고등학교),5
국제신학대학원대학교(남서울중학교),4
방배노인종합복지관(이수중학교),3
문현중학교(장지역 1번),1
관악동부센트레빌아파트(은천로35라길),1
응봉산,1
공덕래미안3차아파트,2
염창역 2번,0
굽은다리역 2번,1
장로회신학대학교,0
한영중고,0
광진초등학교,0
대흥역 2번,4
방학역 1번,1
양재역 8번(양재동우체국),2
반포4동주민센터(몽마르뜨공원),0
석촌중학교(방이육교),1
신대방삼거리역 4번(대림초등학교),2
신풍역 6번(신길6동공영주차장),1
오금공원(오주중학교),2
마천역(마천초등학교),1
성동구보건소,3
버티고개,0
명일역 1번,0
서초동성당,3
우면주공아파트,0
남부터미널역 1번,3
서초우방유쉘아파트,1
잠원역,0
장충동주민센터,1
암사역 3번(천호동자전거거리),0
상일여고(상일초등학교),0
시흥초등학교(시흥1동우체국),3
쌍문역1번(쌍리단길),0
한성대입구역 3번,0
동대문역 1번,1
삼선중학교,0
성신여대입구역 4번,0
정릉우체국,0
용두동신동아아파트,3
고려대역 6번,0
제기동역 6번,2
방학초등학교,2
샘말어린이공원,2
도봉구보건소,2
강북문화정보도서관,0
북한산보국문역 1번,0
금천금빛공원(은행나무사거리서측),3
풍납초등학교(풍납백제문화공원),0
암사역 4번(삼성광나루아파트),0
대왕초등학교(세곡동사거리서남측),1
도곡2동주민센터(대치중학교),0
둔촌동역 1번(한산중학교),3
둔촌고등학교(둔촌중학교),1
성내천어린이공원(하니사랑길),1
둔촌동역 3번(성내3동주민센터),1
천호지구대(천호동자전거거리),1
천호역 1번(천호문구완구거리),0
강동역 4번(강풀만화거리),2
길동주민센터(강동도서관),3
서경대학교,0
수유북부시장옆,0
가오리역 2번,0
서울북부고용노동지청,0
강북구청,0
미아역 5번,1
수유초등학교,1
길음역 7번,0
삼양사거리역 1번,1
삼선동주민센터,1
성신여대입구역 1번,0
보문역 4번,1
경동고등학교,1
신설동역 9번,4
용두희망어린이공원,2
신당역 3번,3
도봉구 정병원,2
장곡초등학교,0
종암아이파크2차,0
강북중학교,0
수송초등학교,0
상월곡역 1번,0
선정릉역 4번,1
방학중학교,2
덕수교,0
도봉산입구,0
우이천 계성교,0
인수동 우편취급국,0
수유동우체국,0
개포지구대옆,2
논현초등학교,2
역삼역 4번,5
언북중학교,0
청계천박물관,4
신림역 5번(신림동주민센터 신림동별빛거리),3
세화어린이공원,2
오동나무공원(송파레미니스1단지),1
송파나루역 1번(송리단길),3
남태령역(서울전자고등학교),1
문래예술촌(문래창작촌),0
암사역 2번(서울강동초등학교),1
고덕중학교(고덕2동주민센터),0
암사동성당(효정하나플러스아파트),1
본마을노인복지센터(서초구립내곡도서관),0
삼성전자서울R&D(서울우면초등학교),0
묘곡초등학교(고덕아이파크아파트),0
금천철쭉어린이공원(금하마을),1
굽은다리역 1번(십자성마을),2
삼성산자연공원(서울금천초등학교),3
시흥4동주민센터(서울신흥초등학교),3
더케이호텔(양재리본타워2단지아파트),0
KT금천빌딩(금천구시설관리공단),4
청계산입구역 2번(내곡동주민센터),0
금산초등학교(금천고등학교),2
서울축산농협 독산역지점(독산파출소),0
은곡마을(은곡마을공원),1
구립대학경로당(관악산샘말공원),0
원신초등학교(구세군관악영문교회),0
서울산업정보학교(서울삼성초등학교),0
서울나래학교(염곡어린이공원),0
신림주공2단지(광신고등학교),0
